"id","company_name","phone_number","street_number","street_name","city","province","postal_code","country"
"1","(709) 246-8727","New Canada Incorporated","978","Seventh Rd.","Halifax","Nova Scotia","B0A 2Y1","Canada"
"2","(902) 145-8980","New Canada Incorporated","541","Second Rd.","Halifax","Nova Scotia","B0A 2Y1","Canada"
"3","(902) 145-3775","New Canada Incorporated","626","First Rd.","Port Saunders","Newfoundland and Labrador","A9I 0I1","Canada"
"4","(709) 246-7717","New Canada Incorporated","443","Main Rd.","Bonavista","Newfoundland and Labrador","A1C 3U1","Canada"
"5","(902) 484-6143","New Canada Incorporated","602","Lake Blvd.","Bay Roberts","Newfoundland and Labrador","A3B 1S1","Canada"
"6","(902) 145-1526","New Canada Incorporated","483","Fourth Rd.","Halifax","Nova Scotia","B0A 2Y1","Canada"
"7","(709) 246-6108","New Canada Incorporated","796","Queen Rd.","Labrador City","Newfoundland and Labrador","A0B 2L1","Canada"
"8","(902) 591-2097","New Canada Incorporated","333","Second Blvd.","Halifax","Nova Scotia","B0A 2Y1","Canada"
"9","(709) 246-1409","New Canada Incorporated","155","Fourth Rd.","Deer Lake","Newfoundland and Labrador","A5B 3C1","Canada"
"10","(902) 591-8672","New Canada Incorporated","633","Sunset St.","Clarke's Beach","Newfoundland and Labrador","A1F 0E1","Canada"
