"Payroll_ID","Payment_Date","Employee_ID","Payment_Salary","Payment_Bonus","Payment_Status"
"8405283","2022-08-15","12","1534.25","4165.00","Cleared"
"8405284","2022-08-16","26","3835.62","524.00","Cleared"
"8405285","2022-08-18","11","7671.23","780.00","Cleared"
"8405286","2022-08-18","15","2876.71","2696.00","Cleared"
"8405287","2022-08-22","23","6712.33","228.00","Cleared"
"8405288","2022-08-24","14","2876.71","2512.00","Cleared"
"8405289","2022-08-24","29","3260.27","1939.00","Cleared"
"8405290","2022-08-25","5","2876.71","2388.00","Cleared"
"8405291","2022-08-25","7","1687.67","3900.00","Cleared"
"8405292","2022-08-25","9","4602.74","531.00","Cleared"
"8405293","2022-08-25","19","2493.15","1225.00","Cleared"
"8405294","2022-08-26","22","3068.49","4076.00","Cleared"
"8405295","2022-08-27","30","1917.81","2780.00","Cleared"
"8405296","2022-08-28","17","1726.03","840.00","Cleared"
"8405297","2022-08-28","25","3835.62","653.00","Cleared"
"8405298","2022-08-29","12","1534.25","339.00","Cleared"
"8405299","2022-08-30","26","3835.62","724.00","Cleared"
"8405300","2022-09-01","11","7671.23","2063.00","Cleared"
"8405301","2022-09-01","15","2876.71","1089.00","Cleared"
"8405302","2022-09-02","2","460.27","3603.00","Cleared"
"8405303","2022-09-02","3","2493.15","3710.00","Cleared"
"8405304","2022-09-02","13","3260.27","2919.00","Cleared"
"8405305","2022-09-03","10","7671.23","2347.00","Cleared"
"8405306","2022-09-03","20","3260.27","3661.00","Cleared"
"8405307","2022-09-04","6","3260.27","1458.00","Cleared"
"8405308","2022-09-04","27","4794.52","4441.00","Cleared"
"8405309","2022-09-05","21","1917.81","1054.00","Cleared"
"8405310","2022-09-05","23","6712.33","1923.00","Cleared"
"8405311","2022-09-07","14","2876.71","2888.00","Cleared"
"8405312","2022-09-07","28","4794.52","1286.00","Cleared"
"8405313","2022-09-07","29","3260.27","3211.00","Cleared"
"8405314","2022-09-08","1","3260.27","3748.00","Cleared"
