"branch_id","company_name","phone_number","email_address","street_number","street_name","city","province","postal_code","country"
"1","New Canada Incorporated","(709) 110-9101","branch1@nci.ca","918","Park Rd.","Placentia","Newfoundland and Labrador","A9B 3P1","Canada"
"2","New Canada Incorporated","(709) 110-2000","branch2@nci.ca","961","Martin St.","Channel-Port aux Basques","Newfoundland and Labrador","A7B 0E1","Canada"
"3","New Canada Incorporated","(902) 102-5184","branch3@nci.ca","826","Pine St.","Clarenville","Newfoundland and Labrador","A1B 0D1","Canada"
"4","New Canada Incorporated","(902) 102-5413","branch4@nci.ca","822","Ninth Rd.","Renews-Cappahayden","Newfoundland and Labrador","A1S 3T1","Canada"
"5","New Canada Incorporated","(709) 888-7834","branch5@nci.ca","364","Second Rd.","Carbonear","Newfoundland and Labrador","A6B 1S1","Canada"
"6","New Canada Incorporated","(709) 110-0233","branch6@nci.ca","660","Elm Ct.","Halifax","Nova Scotia","B0A 3S1","Canada"
"7","New Canada Incorporated","(902) 245-5668","branch7@nci.ca","143","Third Rd.","Halifax","Nova Scotia","B0A 3S1","Canada"
"8","New Canada Incorporated","(709) 110-0891","branch8@nci.ca","828","Main Rd.","Clarenville","Newfoundland and Labrador","A1B 0D1","Canada"
"9","New Canada Incorporated","(902) 631-2071","branch9@nci.ca","486","Third Rd.","Halifax","Nova Scotia","B0A 3S1","Canada"
"10","New Canada Incorporated","(902) 631-5432","branch10@nci.ca","585","Tenth St.","Bishop's Falls","Newfoundland and Labrador","A2C 2E1","Canada"
