PostalCode,Province,City,Latitude,Longitude,AreaCode,TimeZone,DST
A0A 0A0,NL,Bay Roberts,47.598168,-53.257591,709,-0330,Y
A0A 0A1,NL,Avondale,47.420665,-53.198308,709,-0330,Y
A0A 0A2,NL,Holyrood,47.379666,-53.165663,709,-0330,Y
A0A 0A3,NL,Trepassey,46.737496,-53.364128,709,-0330,Y
A0A 0A4,NL,South River,47.554499,-53.287575,709,-0330,Y
A0A 0A5,NL,Northern Bay,47.943881,-53.068237,709,-0330,Y
A0A 0A6,NL,Clarkes Beach,47.552354,-53.285857,709,-0330,Y
A0A 0A7,NL,Conception Harbour,47.446647,-53.203554,709,-0330,Y
A0A 0A8,NL,Harbour Main,47.432795,-53.160254,709,-0330,Y
A0A 0A9,NL,Jobs Cove,47.977943,-53.014627,709,-0330,Y
A0A 0B1,NL,St Shotts,46.632147,-53.586987,709,-0330,Y
A0A 0B2,NL,Cape Broyle,47.095251,-52.95655,709,-0330,Y
A0A 0B3,NL,Aquaforte,47.006499,-52.958695,709,-0330,Y
A0A 0B4,NL,Colliers Riverhead,47.467828,-53.223678,709,-0330,Y
A0A 0B5,NL,Fermeuse,46.976139,-52.944003,709,-0330,Y
A0A 0B6,NL,Petty Harbour,47.896937,-53.078203,709,-0330,Y
A0A 0B7,NL,Western Bay,47.896937,-53.078203,709,-0330,Y
A0A 0B8,NL,Broad Cove BDV,47.837682,-53.098649,709,-0330,Y
A0A 0B9,NL,Burnt Point BDV,47.957128,-53.041863,709,-0330,Y
A0A 0C1,NL,Pouch Cove,47.763632,-52.765906,709,-0330,Y
A0A 0C2,NL,Red Head Cove,48.130929,-52.895806,709,-0330,Y
A0A 0C3,NL,Ferryland,47.035664,-52.884379,709,-0330,Y
A0A 0C4,NL,Bay Bulls,47.318591,-52.817795,709,-0330,Y
A0A 0C5,NL,Bay Roberts,47.598168,-53.257591,709,-0330,Y
A0A 0C6,NL,Bell Island,47.641017,-52.95655,709,-0330,Y
A0A 0C7,NL,Coleys Point South,47.572978,-53.27495,709,-0330,Y
