Admirals Beach,97
Aquaforte,74
Arnold's Cove,964
Avondale,584
Bauline,412
Bay Bulls,1566
Bay Roberts,5974
Bay de Verde,347
Bishop's Cove,252
Branch,177
Brigus,699
Bryant's Cove,343
Cape Broyle,499
Carbonear,4696
Chance Cove,213
Chapel Arm,446
Clarke's Beach,1400
Colinet,103
Colliers,613
Come By Chance,208
Conception Bay South,27168
Conception Harbour,624
Cupids,699
Fermeuse,266
Ferryland,371
Flatrock,1722
Fox Harbour,226
Gaskiers-Point La Haye,189
Hant's Harbour,318
Harbour Grace,2796
Harbour Main-Chapel's Cove-Lakeview,1065
Heart's Content,330
Heart's Delight-Islington,646
Heart's Desire,184
Holyrood,2471
Logy Bay-Middle Cove-Outer Cove,2364
Long Harbour-Mount Arlington Heights,185
Mount Carmel-Mitchells Brook-St. Catherine's,382
Mount Pearl,22477
New Perlican,200
Norman's Cove-Long Cove,647
North River,579
Old Perlican,608
Paradise,22957
Petty Harbour-Maddox Cove,947
Placentia,3289
Point Lance,87
Port Kirwan,49
Portugal Cove South,86
Portugal Cove-St. Philip's,8415
Pouch Cove,2063
Renews-Cappahayden,280
Riverhead,165
Salmon Cove,764
Small Point-Adam's Cove-Blackhead-Broad Cove,414
South River,674
Southern Harbour,313
Spaniard's Bay,2630
St. Bride's,318
St. John's,110525
St. Joseph's,86
St. Mary's,313
St. Shott's,55
St. Vincent's-St. Stephen's-Peter's River,263
Sunnyside,407
Torbay,7852
Trepassey,405
Upper Island Cove,1401
Victoria,1658
Wabana,1815
Whitbourne,955
Whiteway,351
Winterton,436
Witless Bay,1640
Baine Harbour,126
Bay L'Argent,234
Burin,2237
English Harbour East,117
Fortune,1285
Fox Cove-Mortier,252
Frenchman's Cove,159
Garnish,542
Grand Bank,2152
Grand Le Pierre,176
Lamaline,218
Lawn,583
Lewin's Cove,546
Little Bay East,84
Lord's Cove,155
Marystown,5204
Parkers Cove,233
Point May,254
Point au Gaul,67
Red Harbour,177
Rushoon,229
St. Bernard's-Jacques Fontaine,433
St. Lawrence,1115
Terrenceville,446
Winterland,398
Belleoram,348
Burgeo,1176
Burnt Islands,540
Channel-Port aux Basques,3547
Gaultois,100
Harbour Breton,1477
Hermitage-Sandyville,404
Isle aux Morts,559
Milltown-Head of Bay d'Espoir,669
Morrisville,93
Pool's Cove,143
Ramea,388
Rencontre East,115
Rose Blanche-Harbour le Cou,344
Samiajij Miawpukek,953
Seal Cove,100
St. Alban's,1189
St. Jacques-Coomb's Cove,546
Cape St. George,809
Gallants,50
Kippens,1842
Lourdes,502
Port au Port East,413
Port au Port West-Aguathuna-Felix Cove,384
St. George's,1139
Stephenville,6540
Stephenville Crossing,1634
Cormack,492
Corner Brook,19333
Cox's Cove,664
Deer Lake,4864
Gillams,506
Hampden,439
Howley,179
Hughes Brook,236
Humber Arm South,1537
Irishtown-Summerside,1260
Jackson's Arm,277
Lark Harbour,508
Massey Drive,1606
McIvers,575
Meadows,404
Mount Moriah,700
Pasadena,3524
Reidville,550
Steady Brook,416
York Harbour,372
Appleton,620
Badger,682
Bishop's Falls,3082
Botwood,2778
Buchans,590
Gander,11880
Glenwood,739
Grand Falls-Windsor,13853
Millertown,87
Norris Arm,708
Northern Arm,371
Peterview,723
Bonavista,3190
Centreville-Wareham-Trinity,1116
Clarenville,6704
Dover,579
Duntara,36
Eastport,527
Elliston,315
Gambo,1816
Glovertown,1948
Greenspond,257
Happy Adventure,118
Hare Bay,925
Indian Bay,172
Keels,46
King's Cove,75
Musgravetown,561
New-Wes-Valley,2044
Port Blandford ,513
Port Rexton,361
Salvage,108
Sandringham,205
Sandy Cove,120
St. Brendan's,125
Terra Nova,99
Traytown,279
Trinity,76
Trinity Bay North,1649
Baie Verte,1311
Baytona,251
Beachside,97
Birchy Bay,511
Brent's Cove,119
Brighton,163
Burlington,304
Campbellton,459
Carmanville,784
Change Islands,184
Coachman's Cove,111
Comfort Cove-Newstead,345
Cottlesville,244
Crow Head,156
Embree,679
Fleur de Lys,207
Fogo Island,2117
King's Point,653
LaScie,820
Leading Tickles,296
Lewisporte,3288
Little Bay,100
Little Bay Islands,0
Little Burnt Bay,238
Lumsden,535
Lushes Bight-Beaumont-Beaumont North,169
Middle Arm,443
Miles Cove,97
Ming's Bight,298
Musgrave Harbour,946
Nippers Harbour,74
Pacquet,145
Pilley's Island,286
Point Leamington,574
Point of Bay,137
Port Anson,42
Robert's Arm,722
Seal Cove,281
South Brook,420
Springdale,2965
Summerford,805
Tilt Cove,5
Triton,896
Twillingate,2121
Westport,185
Woodstock,195
Anchor Point,305
Bellburns,52
Bird Cove,175
Conche,149
Cook's Harbour,118
Cow Head,398
Daniel's Harbour,220
Englee,489
Flower's Cove,272
Glenburnie-Birchy Head-Shoal Brook,241
Goose Cove East,172
Hawke's Bay,297
Main Brook,246
Norris Point,602
Parson's Pond,368
Port Saunders,678
Port au Choix,742
Raleigh,150
River of Ponds,173
Rocky Harbour,937
Roddickton-Bide Arm,928
Sally's Cove,15
St. Anthony,2180
St. Lunaire-Griquet,603
St. Pauls,202
Trout River,508
Woody Point,244
Cartwright,439
Charlottetown,292
Forteau,377
Happy Valley-Goose Bay,8040
L'Anse au Loup,692
L'Anse-au-Clair,219
Labrador City,7412
Mary's Harbour,312
Natuashish,856
North West River,560
Pinware,64
Port Hope Simpson,403
Red Bay,142
Sheshatshiu,1225
St. Lewis,181
Wabush,1964
West St. Modeste,102
Hopedale,596
Makkovik,365
Nain,847
Postville,188
Rigolet,327
