"name","frequency"
"Second","6.583531403640153"
"First","6.231888776739492"
"Third","5.378829811480481"
"Main","5.232312050271872"
"Fourth","4.857877771627649"
"Maple","3.705271383453261"
"Fifth","3.6694559307133785"
"Park","3.594569074984534"
"Church","3.233158597336633"
"Sixth","3.1485038908605474"
"Pine","2.9433790251684955"
"Birch","2.754533910721844"
"Railway","2.6080161495132352"
"Cedar","2.549409045029792"
"Seventh","2.5396411942825514"
"River","2.18148666688373"
"Spruce","2.165206915638329"
"Mill","2.0838081594113245"
"Poplar","2.01543320418064"
"Willow","2.0056653534333995"
"Eighth","1.9242665972063946"
"Elm","1.725653632012503"
"Tenth","1.7158857812652621"
"Ninth","1.6963500797707813"
"Victoria","1.6312310747891772"
"Oak","1.6214632240419369"
"King","1.5596001693094128"
"Sunset","1.5465763683130922"
"Lake","1.4977371145768894"
"Aspen","1.3935467066063232"
"Centre","1.2861003483866766"
"Mountain","1.2861003483866766"
"Lakeview","1.2340051444013935"
"Queen","1.207957542408752"
"Eleventh","1.110279034936346"
"James","1.0874873831927847"
"Smith","1.0842314329437046"
"George","1.0646957314492234"
"Martin","1.0126005274639405"
"Cambell","0.9637612737277375"
"William","0.9605053234786572"
"North","0.9539934229804968"
"Woodland","0.9539934229804968"
