"id","company_name","phone_number","street_number","street_name","city","province","postal_code","country"
"1","(709) 226-8982","New Canada Incorporated","416","Third Rd.","Halifax","Nova Scotia","B0A 1D1","Canada"
"2","(902) 250-4075","New Canada Incorporated","240","Smith Rd.","Labrador City","Newfoundland and Labrador","A0B 1Y1","Canada"
"3","(709) 226-6091","New Canada Incorporated","140","Willow Rd.","Bay Roberts","Newfoundland and Labrador","A3B 3X1","Canada"
"4","(902) 250-8257","New Canada Incorporated","781","Seventh Rd.","Halifax","Nova Scotia","B0A 1D1","Canada"
"5","(902) 177-0558","New Canada Incorporated","900","Second Blvd.","Halifax","Nova Scotia","B0A 1D2","Canada"
"6","(902) 250-9428","New Canada Incorporated","119","Main Rd.","St. George's","Newfoundland and Labrador","A8F 1Q1","Canada"
"7","(902) 772-6038","New Canada Incorporated","796","Fourth Rd.","Halifax","Nova Scotia","B0A 1D3","Canada"
"8","(902) 772-8421","New Canada Incorporated","768","Pine Rd.","Massey Drive","Newfoundland and Labrador","A6E 1O1","Canada"
"9","(709) 226-2878","New Canada Incorporated","877","Pine Blvd.","Clarenville","Newfoundland and Labrador","A1B 2L1","Canada"
"10","(902) 772-3763","New Canada Incorporated","30","Mountain Ave.","Halifax","Nova Scotia","B0A 1D3","Canada"
