"Payroll_ID","Payment_Date","Employee_ID","Payment_Salary","Payment_Bonus","Payment_Status"
"8405283","2022-08-15","22","5753.42","220.00","Cleared"
"8405284","2022-08-15","27","9589.04","639.00","Cleared"
"8405285","2022-08-15","52","5561.64","810.00","Cleared"
"8405286","2022-08-15","59","2301.37","822.00","Cleared"
"8405287","2022-08-15","60","2301.37","2659.00","Cleared"
"8405288","2022-08-15","77","3260.27","2929.00","Cleared"
"8405289","2022-08-15","151","4219.18","2891.00","Cleared"
"8405290","2022-08-15","162","5753.42","2661.00","Cleared"
"8405291","2022-08-15","282","1917.81","3733.00","Cleared"
"8405292","2022-08-15","311","4410.96","284.00","Cleared"
"8405293","2022-08-15","312","1726.03","276.00","Cleared"
"8405294","2022-08-15","344","1917.81","3202.00","Cleared"
"8405295","2022-08-15","353","1150.68","3135.00","Cleared"
"8405296","2022-08-15","386","28767.12","548.00","Cleared"
"8405297","2022-08-15","419","7671.23","1776.00","Cleared"
"8405298","2022-08-15","423","2876.71","1932.00","Cleared"
"8405299","2022-08-15","442","5139.73","1706.00","Cleared"
"8405300","2022-08-15","445","5561.64","4498.00","Cleared"
"8405301","2022-08-15","447","1687.67","2936.00","Cleared"
"8405302","2022-08-15","484","3835.62","86.00","Cleared"
"8405303","2022-08-15","576","5561.64","2757.00","Cleared"
"8405304","2022-08-15","598","4027.40","3599.00","Cleared"
"8405305","2022-08-15","627","3835.62","2004.00","Cleared"
"8405306","2022-08-15","669","3835.62","3776.00","Cleared"
"8405307","2022-08-15","707","3835.62","332.00","Cleared"
"8405308","2022-08-15","736","2876.71","3223.00","Cleared"
"8405309","2022-08-15","760","5753.42","1916.00","Cleared"
"8405310","2022-08-15","762","5753.42","330.00","Cleared"
"8405311","2022-08-15","779","3260.27","366.00","Cleared"
"8405312","2022-08-15","789","1726.03","3328.00","Cleared"
"8405313","2022-08-15","801","3260.27","1021.00","Cleared"
"8405314","2022-08-15","810","1726.03","661.00","Cleared"
"8405315","2022-08-15","859","1726.03","506.00","Cleared"
"8405316","2022-08-15","872","1534.25","1240.00","Cleared"
"8405317","2022-08-15","908","3835.62","1243.00","Cleared"
"8405318","2022-08-15","912","3260.27","1350.00","Cleared"
"8405319","2022-08-15","923","2876.71","8.00","Cleared"
