"Payroll_ID","Payment_Date","Employee_ID","Payment_Salary","Payment_Bonus","Payment_Status"
"8405283","2022-08-15","18","3260.27","973.00","Cleared"
"8405284","2022-08-15","80","1150.68","1720.00","Cleared"
"8405285","2022-08-15","85","3835.62","2834.00","Cleared"
"8405286","2022-08-15","87","4794.52","4067.00","Cleared"
"8405287","2022-08-16","11","460.27","3060.00","Cleared"
"8405288","2022-08-16","55","3835.62","547.00","Cleared"
"8405289","2022-08-16","75","1726.03","1572.00","Cleared"
"8405290","2022-08-17","30","1150.68","2519.00","Cleared"
"8405291","2022-08-17","61","28767.12","2425.00","Cleared"
"8405292","2022-08-19","2","460.27","1636.00","Cleared"
"8405293","2022-08-19","8","2876.71","3020.00","Cleared"
"8405294","2022-08-19","28","2876.71","426.00","Cleared"
"8405295","2022-08-19","39","3835.62","1818.00","Cleared"
"8405296","2022-08-19","47","1917.81","4368.00","Cleared"
"8405297","2022-08-19","69","4602.74","254.00","Cleared"
"8405298","2022-08-19","79","1150.68","425.00","Cleared"
"8405299","2022-08-19","96","3260.27","1451.00","Cleared"
"8405300","2022-08-20","4","1726.03","829.00","Cleared"
"8405301","2022-08-20","9","1726.03","1214.00","Cleared"
"8405302","2022-08-20","17","1917.81","2007.00","Cleared"
"8405303","2022-08-20","24","4602.74","2999.00","Cleared"
"8405304","2022-08-20","44","24931.51","2891.00","Cleared"
"8405305","2022-08-21","7","2301.37","4070.00","Cleared"
"8405306","2022-08-21","42","1726.03","3123.00","Cleared"
"8405307","2022-08-21","62","2876.71","2678.00","Cleared"
"8405308","2022-08-21","93","3835.62","3261.00","Cleared"
"8405309","2022-08-22","49","9589.04","57.00","Cleared"
"8405310","2022-08-22","59","3260.27","2445.00","Cleared"
"8405311","2022-08-22","68","3452.05","185.00","Cleared"
"8405312","2022-08-22","76","3260.27","805.00","Cleared"
"8405313","2022-08-22","81","2876.71","1142.00","Cleared"
"8405314","2022-08-22","82","2493.15","837.00","Cleared"
"8405315","2022-08-23","32","2493.15","2176.00","Cleared"
"8405316","2022-08-23","77","3068.49","3201.00","Cleared"
"8405317","2022-08-23","91","1150.68","628.00","Cleared"
"8405318","2022-08-24","20","2876.71","2489.00","Cleared"
"8405319","2022-08-24","84","3452.05","3105.00","Cleared"
"8405320","2022-08-24","88","3068.49","2678.00","Cleared"
"8405321","2022-08-25","19","21095.89","3485.00","Cleared"
"8405322","2022-08-25","34","3260.27","682.00","Cleared"
"8405323","2022-08-25","37","1150.68","3703.00","Cleared"
"8405324","2022-08-25","95","1726.03","2255.00","Cleared"
"8405325","2022-08-26","3","3835.62","3321.00","Cleared"
"8405326","2022-08-26","72","3068.49","407.00","Cleared"
"8405327","2022-08-26","78","1726.03","3152.00","Cleared"
"8405328","2022-08-26","100","21095.89","912.00","Cleared"
"8405329","2022-08-27","43","4219.18","3338.00","Cleared"
"8405330","2022-08-28","97","1150.68","2021.00","Cleared"
"8405331","2022-08-29","5","3835.62","599.00","Cleared"
"8405332","2022-08-29","13","2876.71","3091.00","Cleared"
"8405333","2022-08-29","18","3260.27","634.00","Cleared"
"8405334","2022-08-29","23","3835.62","340.00","Cleared"
"8405335","2022-08-29","48","3835.62","2336.00","Cleared"
"8405336","2022-08-29","54","1726.03","4390.00","Cleared"
"8405337","2022-08-29","80","1150.68","557.00","Cleared"
"8405338","2022-08-29","85","3835.62","4140.00","Cleared"
"8405339","2022-08-29","87","4794.52","733.00","Cleared"
