"payroll_id","payment_date","employee_id","payment_salary","payment_bonus","payment_status"
"8405283","2022-08-15","9","5753.42","1124.00","Cleared"
"8405284","2022-08-17","8","4602.74","3989.00","Cleared"
"8405285","2022-08-19","4","2876.71","4385.00","Cleared"
"8405286","2022-08-22","10","2493.15","3164.00","Cleared"
"8405287","2022-08-25","2","1726.03","4319.00","Cleared"
"8405288","2022-08-26","1","3260.27","2403.00","Cleared"
"8405289","2022-08-26","3","5753.42","3374.00","Cleared"
"8405290","2022-08-29","9","5753.42","701.00","Cleared"
"8405291","2022-08-31","8","4602.74","3293.00","Cleared"
"8405292","2022-09-01","7","1726.03","1445.00","Cleared"
"8405293","2022-09-02","4","2876.71","3944.00","Cleared"
"8405294","2022-09-02","5","1534.25","3223.00","Cleared"
"8405295","2022-09-03","6","5561.64","3486.00","Cleared"
"8405296","2022-09-05","10","2493.15","2179.00","Cleared"
"8405297","2022-09-08","2","1726.03","338.00","Cleared"
"8405298","2022-09-09","1","3260.27","139.00","Cleared"
"8405299","2022-09-09","3","5753.42","3858.00","Cleared"
"8405300","2022-09-12","9","5753.42","3822.00","Cleared"
"8405301","2022-09-14","8","4602.74","1639.00","Cleared"
"8405302","2022-09-15","7","1726.03","3647.00","Cleared"
"8405303","2022-09-16","4","2876.71","3916.00","Cleared"
"8405304","2022-09-16","5","1534.25","1825.00","Cleared"
"8405305","2022-09-17","6","5561.64","1699.00","Cleared"
"8405306","2022-09-19","10","2493.15","1497.00","Cleared"
"8405307","2022-09-22","2","1726.03","2982.00","Cleared"
"8405308","2022-09-23","1","3260.27","2957.00","Cleared"
"8405309","2022-09-23","3","5753.42","1685.00","Cleared"
"8405310","2022-09-26","9","5753.42","1277.00","Cleared"
"8405311","2022-09-28","8","4602.74","3098.00","Cleared"
"8405312","2022-09-29","7","1726.03","3147.00","Cleared"
"8405313","2022-09-30","4","2876.71","425.00","Cleared"
"8405314","2022-09-30","5","1534.25","367.00","Cleared"
"8405315","2022-10-01","6","5561.64","3475.00","Cleared"
"8405316","2022-10-03","10","2493.15","4092.00","Cleared"
"8405317","2022-10-06","2","1726.03","3825.00","Cleared"
"8405318","2022-10-07","1","3260.27","2873.00","Cleared"
"8405319","2022-10-07","3","5753.42","2066.00","Cleared"
"8405320","2022-10-10","9","5753.42","2197.00","Cleared"
"8405321","2022-10-12","8","4602.74","714.00","Cleared"
"8405322","2022-10-13","7","1726.03","1736.00","Cleared"
"8405323","2022-10-14","4","2876.71","2267.00","Cleared"
"8405324","2022-10-14","5","1534.25","4326.00","Cleared"
"8405325","2022-10-15","6","5561.64","3194.00","Cleared"
"8405326","2022-10-17","10","2493.15","1002.00","Cleared"
"8405327","2022-10-20","2","1726.03","1980.00","Cleared"
"8405328","2022-10-21","1","3260.27","295.00","Cleared"
"8405329","2022-10-21","3","5753.42","1320.00","Cleared"
"8405330","2022-10-24","9","5753.42","289.00","Cleared"
"8405331","2022-10-26","8","4602.74","381.00","Cleared"
"8405332","2022-10-27","7","1726.03","1165.00","Cleared"
"8405333","2022-10-28","4","2876.71","108.00","Cleared"
"8405334","2022-10-28","5","1534.25","3584.00","Cleared"
"8405335","2022-10-29","6","5561.64","480.00","Cleared"
"8405336","2022-10-31","10","2493.15","4155.00","Cleared"
"8405337","2022-11-03","2","1726.03","2572.00","Cleared"
"8405338","2022-11-04","1","3260.27","816.00","Cleared"
"8405339","2022-11-04","3","5753.42","1831.00","Cleared"
"8405340","2022-11-07","9","5753.42","2854.00","Cleared"
"8405341","2022-11-09","8","4602.74","1285.00","Cleared"
"8405342","2022-11-10","7","1726.03","2370.00","Cleared"
"8405343","2022-11-11","4","2876.71","2634.00","Cleared"
"8405344","2022-11-11","5","1534.25","3176.00","Cleared"
"8405345","2022-11-12","6","5561.64","3052.00","Cleared"
"8405346","2022-11-14","10","2493.15","719.00","Cleared"
"8405347","2022-11-17","2","1726.03","3808.00","Cleared"
"8405348","2022-11-18","1","3260.27","1347.00","Cleared"
"8405349","2022-11-18","3","5753.42","3627.00","Cleared"
"8405350","2022-11-21","9","5753.42","3609.00","Pending Clearance"
"8405351","2022-11-23","8","4602.74","312.00","Pending Clearance"
